run,env,epoch,fold,in_development,in_heldout,in_heldout_dataset,in_heldout_method,in_calibration_fit,sr_development,sr_heldout,sr_heldout_method,method,vis,veracity,influence,sobriety,m_emp,probe_r2,straightness,d_tol_grade,sigma_roll,tr_sigma_z,sr_heldout_dataset,in_cube_reference
visreg_pusht_lambd4p5_bs256_lr2e-4_seed729_183125,pusht,1,heldout,0,1,0,0,1,68.0,70.66666666666667,nan,,0.03854019693893862,0.29391056018902423,0.7629323456600761,0.171875,62.56045234412624,0.757768324552444,0.4222783141397124,4.457516411847269,5.9100500072278805,177.21220946814685,nan,0
visreg_pusht_lambd4p5_bs256_lr2e-4_seed729_183125,pusht,2,heldout,0,0,0,0,1,72.0,nan,nan,,0.064246027096354,0.3426454778472214,1.0,0.1875,87.5460792743526,0.8374224943082207,0.4401103728629549,4.49505812195491,5.066925687084079,188.0202425607723,nan,0
visreg_pusht_lambd4p5_bs256_lr2e-4_seed729_183125,pusht,3,heldout,0,0,0,0,1,92.0,nan,nan,,0.20078987626999129,0.4759463733807201,1.0,0.421875,122.3582811042239,0.9156029565795594,0.452081057463689,4.667949898039367,3.6633821082805897,181.85749554337508,nan,0
visreg_pusht_lambd4p5_bs256_lr2e-4_seed729_183125,pusht,4,heldout,0,0,0,0,1,94.0,nan,nan,,0.23148741674777826,0.44894529308660025,1.0,0.515625,122.34134376964343,0.935717229324696,0.4641881518535868,4.5266672056091295,3.7963903891239794,182.28918025840215,nan,0
visreg_pusht_lambd4p5_bs256_lr2e-4_seed729_183125,pusht,5,heldout,0,0,0,0,1,94.0,nan,nan,,0.37659871198941397,0.5605190131935464,1.0,0.671875,151.46929634262438,0.94316117676571,0.47024990927774846,4.664331751265721,3.016759207283565,182.8442052371407,nan,0
visreg_pusht_lambd4p5_bs256_lr2e-4_seed729_183125,pusht,6,heldout,0,0,0,0,1,94.0,nan,nan,,0.3984932058156738,0.5931061667954215,1.0,0.671875,166.01305598740277,0.938506710522481,0.4748293057155231,4.573285291578283,2.7570765869374547,183.27050035633545,nan,0
visreg_pusht_lambd4p5_bs256_lr2e-4_seed729_183125,pusht,7,heldout,0,0,0,0,1,96.0,nan,nan,,0.4935442998482292,0.6580590664643056,1.0,0.75,181.9728789143,0.944968578402306,0.47732778326697767,4.601277142910839,2.4208654865864956,183.34555984540478,nan,0
visreg_pusht_lambd4p5_bs256_lr2e-4_seed729_183125,pusht,8,heldout,0,0,0,0,1,96.0,nan,nan,,0.5471037573545302,0.7002928094137987,1.0,0.78125,192.7698144056371,0.9357810902568257,0.4786346675422421,4.707896516251301,2.269825106695152,183.75339174227793,nan,0
visreg_pusht_lambd4p5_bs256_lr2e-4_seed729_183125,pusht,9,heldout,0,0,0,0,1,98.0,nan,nan,,0.514178983626739,0.700158616002368,1.0,0.734375,193.7763758019344,0.9340045052130193,0.47954244529949763,4.673047241289525,2.2536488497364604,183.53112801807018,nan,0
visreg_pusht_lambd4p5_bs256_lr2e-4_seed729_183125,pusht,10,heldout,0,0,0,0,1,94.0,nan,nan,,0.5819667479320761,0.7162667666856322,1.0,0.8125,198.78377371975307,0.9322963903510454,0.4797198348752946,4.655733763562658,2.1715771507849726,183.56156806101805,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed403_184424,pusht,1,heldout,0,1,0,0,1,32.0,20.0,nan,,0.004335153922980603,0.2132344690030703,0.26022983279196166,0.078125,21.338846288940857,0.6890174703979595,0.33184558088711924,4.891734335650823,9.041584530858797,199.7950472866329,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed403_184424,pusht,2,heldout,0,0,0,0,1,72.0,nan,nan,,0.10529019936278099,0.3488749322443173,0.8779615084758638,0.34375,71.99284369502084,0.7081036388883207,0.3932972582381877,4.644757374073392,5.1357360121398,184.21206503391534,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed403_184424,pusht,3,heldout,0,0,0,0,1,90.0,nan,nan,,0.25368465451766725,0.46388051111802014,1.0,0.546875,102.22146533717458,0.7288891565971601,0.3942941059649733,4.744444612827431,3.8342560028549375,183.60896410596843,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed403_184424,pusht,4,heldout,0,0,0,0,1,86.0,nan,nan,,0.24555941131095885,0.4762364340576172,1.0,0.515625,111.13407281235251,0.7497340902931383,0.39638871337574255,4.825954614074239,3.7847374601486052,185.72769152048312,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed403_184424,pusht,5,heldout,0,0,0,0,1,96.0,nan,nan,,0.24333669737287458,0.5191182877287991,1.0,0.46875,121.40175636821408,0.7639202715861915,0.3984447899915541,4.9439892832005725,3.506946686948422,186.63465939082283,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed403_184424,pusht,6,heldout,0,0,0,0,1,94.0,nan,nan,,0.3460400758640579,0.598555806899992,1.0,0.578125,140.86330094821955,0.7764587228789038,0.3987903260495489,5.032912864458071,2.999192122709487,186.2782995082324,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed403_184424,pusht,7,heldout,0,0,0,0,1,94.0,nan,nan,,0.4327187285788836,0.6440464797453151,1.0,0.671875,150.8386884650325,0.7798427701430445,0.39774842331438687,5.0279179737318005,2.7233785705743565,185.27670426646435,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed403_184424,pusht,8,heldout,0,0,0,0,1,91.0,nan,nan,,0.4340042085418744,0.6613397463495229,1.0,0.65625,155.00338540201543,0.781194251046033,0.40011511083227047,5.079089005373009,2.6541624791569007,185.4121684489631,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed403_184424,pusht,9,heldout,0,0,0,0,1,94.0,nan,nan,,0.4848597024069914,0.7052504762283511,1.0,0.6875,164.58719295472957,0.7832450436426251,0.4002148713872033,5.080413405498568,2.4244182134325984,185.0616581042896,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed403_184424,pusht,10,heldout,0,0,0,0,1,94.0,nan,nan,,0.46563785528473245,0.6930423892609971,1.0,0.671875,161.9781042548388,0.7831178583810704,0.3999328685378447,5.084028156133649,2.4882024443193274,185.67676649910513,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,pusht,1,heldout,0,1,0,0,1,22.0,20.666666666666668,nan,,0.0021308021886754965,0.19760373474278004,0.2300417723257201,0.046875,18.86342533070905,0.724596782121241,0.3364797619437586,4.753047233222913,9.496708023504278,200.11518064090546,nan,0
visreg_pusht_lambd4p5_bs512_lr1e-4_seed46_184426,pusht,2,heldout,0,0,0,0,1,68.0,nan,nan,,0.05610222728088367,0.3333938881704048,0.828436243913882,0.203125,67.93177200093832,0.7451397074981188,0.39781186583429945,4.573227336643863,5.307700916766935,175.71050426569028,nan,0
