run,env,task,d,epoch,eval_seed,planner,num_eval,success_rate,group,train_seed,source
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,dmc,25,7,42,cem,50,70.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,reacher,25,7,2027,cem,50,88.0,,,pool:heldout
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,reacher,25,7,65537,cem,50,88.0,,,pool:heldout
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,reacher,25,7,8191,cem,50,88.0,,,pool:heldout
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,dmc,25,8,42,cem,50,84.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,reacher,25,8,2027,cem,50,66.0,,,pool:heldout
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,reacher,25,8,65537,cem,50,90.0,,,pool:heldout
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,reacher,25,8,8191,cem,50,84.0,,,pool:heldout
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,dmc,25,9,42,cem,50,78.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,dmc,25,10,42,cem,50,74.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,reacher,25,10,2027,cem,50,76.0,,,pool:heldout
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,reacher,25,10,65537,cem,50,92.0,,,pool:heldout
sigreg_clsrecon_w0p3_dmc_lambd0p09_116568,dmc,reacher,25,10,8191,cem,50,88.0,,,pool:heldout
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,dmc,25,1,42,cem,50,70.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,dmc,25,2,42,cem,50,70.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,dmc,25,3,42,cem,50,64.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,dmc,25,4,42,cem,50,76.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,dmc,25,5,42,cem,50,68.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,reacher,25,5,2027,cem,50,82.0,,,pool:heldout
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,reacher,25,5,65537,cem,50,94.0,,,pool:heldout
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,reacher,25,5,8191,cem,50,92.0,,,pool:heldout
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,dmc,25,6,42,cem,50,72.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,dmc,25,7,42,cem,50,72.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,dmc,25,8,42,cem,50,80.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,dmc,25,9,42,cem,50,66.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_116735,dmc,dmc,25,10,42,cem,50,68.0,clsrecon,base,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,dmc,25,1,42,cem,50,64.0,clsrecon,1,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,dmc,25,2,42,cem,50,64.0,clsrecon,1,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,dmc,25,3,42,cem,50,74.0,clsrecon,1,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,dmc,25,4,42,cem,50,70.0,clsrecon,1,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,dmc,25,5,42,cem,50,80.0,clsrecon,1,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,reacher,25,5,2027,cem,50,74.0,,,pool:heldout
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,reacher,25,5,65537,cem,50,80.0,,,pool:heldout
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,reacher,25,5,8191,cem,50,90.0,,,pool:heldout
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,dmc,25,6,42,cem,50,76.0,clsrecon,1,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,dmc,25,7,42,cem,50,72.0,clsrecon,1,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,dmc,25,8,42,cem,50,80.0,clsrecon,1,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,dmc,25,9,42,cem,50,72.0,clsrecon,1,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed1_117228,dmc,dmc,25,10,42,cem,50,80.0,clsrecon,1,ground_truth
sigreg_clsrecon_w0p3_noregmask_dmc_lambd0p09_seed7_117236,dmc,dmc,25,1,42,cem,50,64.0,clsrecon,7,ground_truth
